period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,friction,diff_friction,status,blocker,exit_depth_m,path_km
40.000,0.0250,148.81,0.5,50.42,0,50.42,0,0.80927,0.80927,land,Coronado shore or shoal,0.3,1.20
40.000,0.0250,149.31,0.5,49.97,0,49.97,0,0.83149,0.83149,land,Coronado shore or shoal,0.2,1.24
40.000,0.0250,149.81,0.5,45.48,0,45.48,0,0.78416,0.78416,land,Coronado shore or shoal,0.2,1.33
40.000,0.0250,150.31,0.5,40.58,0,40.58,0,0.78668,0.78668,land,Coronado shore or shoal,0.2,1.45
40.000,0.0250,150.81,0.5,44.86,0,44.86,0,0.79720,0.79720,land,Coronado shore or shoal,0.3,1.58
40.000,0.0250,151.31,0.5,28.12,0,28.12,0,0.78924,0.78924,land,Coronado shore or shoal,0.0,1.70
40.000,0.0250,151.81,0.5,48.45,0,48.45,0,0.75970,0.75970,land,Coronado shore or shoal,0.3,1.90
40.000,0.0250,152.31,0.5,49.43,0,49.43,0,0.75207,0.75207,land,Coronado shore or shoal,0.3,1.90
40.000,0.0250,152.81,0.5,45.70,0,45.70,0,0.74074,0.74074,land,Coronado shore or shoal,0.3,1.86
40.000,0.0250,153.31,0.5,47.65,0,47.65,0,0.73873,0.73873,land,Coronado shore or shoal,0.3,1.96
40.000,0.0250,153.81,0.5,54.92,0,54.92,0,0.74150,0.74150,land,Coronado shore or shoal,0.3,2.10
40.000,0.0250,154.31,0.5,52.57,0,52.57,0,0.74786,0.74786,land,Coronado shore or shoal,0.3,2.37
40.000,0.0250,154.81,0.5,46.28,0,46.28,0,0.73983,0.73983,land,Coronado shore or shoal,0.2,2.46
40.000,0.0250,155.31,0.5,51.22,0,51.22,0,0.73667,0.73667,land,Coronado shore or shoal,0.3,2.61
40.000,0.0250,155.81,0.5,52.23,0,52.23,0,0.72919,0.72919,land,Coronado shore or shoal,0.3,2.61
40.000,0.0250,156.31,0.5,52.77,0,52.77,0,0.72559,0.72559,land,Coronado shore or shoal,0.2,2.62
40.000,0.0250,156.81,0.5,54.20,0,54.20,0,0.70777,0.70777,land,Coronado shore or shoal,0.2,3.07
40.000,0.0250,157.31,0.5,51.80,0,51.80,0,0.71890,0.71890,land,Coronado shore or shoal,0.2,2.85
40.000,0.0250,157.81,0.5,52.47,0,52.47,0,0.72158,0.72158,land,Coronado shore or shoal,0.3,3.05
40.000,0.0250,158.31,0.5,54.38,0,54.38,0,0.68701,0.68701,land,Coronado shore or shoal,0.2,3.54
40.000,0.0250,158.81,0.5,52.65,0,52.65,0,0.70714,0.70714,land,Coronado shore or shoal,0.3,3.59
40.000,0.0250,159.31,0.5,56.73,0,56.73,0,0.68364,0.68364,land,Coronado shore or shoal,0.2,4.08
40.000,0.0250,159.81,0.5,56.65,0,56.65,0,0.70277,0.70277,land,Coronado shore or shoal,0.3,3.83
40.000,0.0250,160.31,0.5,59.57,0,59.57,0,0.66391,0.66391,land,Coronado shore or shoal,0.2,4.18
40.000,0.0250,160.81,0.5,58.30,0,58.30,0,0.68753,0.68753,land,Coronado shore or shoal,0.3,4.30
40.000,0.0250,161.31,0.5,55.43,0,55.43,0,0.68257,0.68257,land,Coronado shore or shoal,0.3,4.70
40.000,0.0250,161.81,0.5,59.94,0,59.94,0,0.67930,0.67930,land,Coronado shore or shoal,0.3,4.81
40.000,0.0250,162.31,0.5,68.80,0,68.80,0,0.68364,0.68364,land,Coronado shore or shoal,0.3,4.98
40.000,0.0250,162.81,0.5,64.45,0,64.45,0,0.67395,0.67395,land,Coronado shore or shoal,0.3,5.20
40.000,0.0250,163.31,0.5,72.26,0,72.26,0,0.69252,0.69252,land,Coronado shore or shoal,0.3,5.21
40.000,0.0250,163.81,0.5,67.64,0,67.64,0,0.67396,0.67396,land,Coronado shore or shoal,0.2,4.98
40.000,0.0250,164.31,0.5,70.89,0,70.89,0,0.65548,0.65548,land,Coronado shore or shoal,-0.1,6.78
40.000,0.0250,164.81,0.5,85.17,0,85.17,0,0.69404,0.69404,land,Coronado shore or shoal,0.2,10.36
40.000,0.0250,165.31,0.5,84.46,0,84.46,0,0.70013,0.70013,land,Coronado shore or shoal,0.3,9.77
40.000,0.0250,165.81,0.5,80.08,0,80.08,0,0.70442,0.70442,land,Coronado shore or shoal,0.2,9.23
40.000,0.0250,166.31,0.5,73.67,0,73.67,0,0.65343,0.65343,land,Coronado shore or shoal,-0.2,9.07
40.000,0.0250,166.81,0.5,80.24,0,80.24,0,0.68509,0.68509,land,Coronado shore or shoal,0.0,9.15
