generated_utc,cycle_utc,valid_utc,lead_h,wave_source,site,hs_m,hs_basis,depth_m,hs_5m_m,hs_window_m,hs_offshore_m,period_s,from_deg,build_sha
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T09:00:00Z,45,spectrum,coronado_center,0.76,breaking,1.43,0.602,0.779,1.055,16.6,224.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T09:00:00Z,45,spectrum,coronado_south,0.627,breaking,1.42,0.489,0.768,1.055,10.4,206.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T12:00:00Z,48,spectrum,buoy,1.085,buoy,,,,1.085,11.9,199.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T12:00:00Z,48,spectrum,coronado_north,1.089,breaking,2.26,0.947,0.776,1.085,12.7,214.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T12:00:00Z,48,spectrum,coronado_center,0.768,breaking,1.69,0.607,0.787,1.085,16.6,223.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T12:00:00Z,48,spectrum,coronado_south,0.652,breaking,1.42,0.505,0.776,1.085,11.9,205.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T15:00:00Z,51,spectrum,buoy,1.116,buoy,,,,1.116,11.9,197.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T15:00:00Z,51,spectrum,coronado_north,1.054,breaking,2.16,0.921,0.776,1.116,11.9,214.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T15:00:00Z,51,spectrum,coronado_center,0.755,breaking,1.7,0.601,0.787,1.116,16.6,223.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T15:00:00Z,51,spectrum,coronado_south,0.649,breaking,1.57,0.513,0.776,1.116,11.9,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T18:00:00Z,54,spectrum,buoy,1.182,buoy,,,,1.182,11.1,200.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T18:00:00Z,54,spectrum,coronado_north,1.034,breaking,2.22,0.898,0.777,1.182,11.1,211.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T18:00:00Z,54,spectrum,coronado_center,0.764,breaking,1.74,0.623,0.789,1.182,14.5,225.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T18:00:00Z,54,spectrum,coronado_south,0.691,breaking,1.95,0.566,0.785,1.182,11.1,228.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T21:00:00Z,57,spectrum,buoy,1.327,buoy,,,,1.327,13.6,174.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T21:00:00Z,57,spectrum,coronado_north,1.039,breaking,2.37,0.89,0.783,1.327,15.6,214.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T21:00:00Z,57,spectrum,coronado_center,0.831,breaking,1.9,0.681,0.801,1.327,14.5,217.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T21:00:00Z,57,spectrum,coronado_south,0.799,breaking,1.7,0.645,0.812,1.327,10.4,239.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T00:00:00Z,60,spectrum,buoy,1.499,buoy,,,,1.499,13.6,173.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T00:00:00Z,60,spectrum,coronado_north,1.047,breaking,2.19,0.89,0.79,1.499,15.6,217.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T00:00:00Z,60,spectrum,coronado_center,0.918,breaking,1.72,0.751,0.817,1.499,14.5,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T00:00:00Z,60,spectrum,coronado_south,0.855,breaking,1.91,0.739,0.85,1.499,6.9,242.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T03:00:00Z,63,spectrum,buoy,1.572,buoy,,,,1.572,6.0,282.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T03:00:00Z,63,spectrum,coronado_north,1.033,breaking,2.27,0.881,0.786,1.572,15.6,219.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T03:00:00Z,63,spectrum,coronado_center,0.946,breaking,1.97,0.785,0.818,1.572,14.5,219.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T03:00:00Z,63,spectrum,coronado_south,0.896,breaking,1.96,0.783,0.864,1.572,6.9,247.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T06:00:00Z,66,spectrum,buoy,1.566,buoy,,,,1.566,6.5,283.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T06:00:00Z,66,spectrum,coronado_north,1.016,breaking,2.04,0.862,0.763,1.566,15.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T06:00:00Z,66,spectrum,coronado_center,0.954,breaking,1.93,0.797,0.793,1.566,16.6,218.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T06:00:00Z,66,spectrum,coronado_south,0.911,breaking,2.08,0.8,0.837,1.566,6.9,251.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T09:00:00Z,69,spectrum,buoy,1.472,buoy,,,,1.472,6.9,283.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T09:00:00Z,69,spectrum,coronado_north,0.988,breaking,2.18,0.84,0.732,1.472,15.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T09:00:00Z,69,spectrum,coronado_center,0.939,breaking,2.12,0.781,0.758,1.472,16.6,222.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T09:00:00Z,69,spectrum,coronado_south,0.906,breaking,1.98,0.776,0.79,1.472,9.0,253.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T12:00:00Z,72,spectrum,buoy,1.338,buoy,,,,1.338,7.4,284.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T12:00:00Z,72,spectrum,coronado_north,0.979,breaking,2.08,0.816,0.692,1.338,17.8,221.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T12:00:00Z,72,spectrum,coronado_center,0.922,breaking,1.79,0.748,0.717,1.338,17.8,237.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T12:00:00Z,72,spectrum,coronado_south,0.851,breaking,1.86,0.724,0.741,1.338,9.0,253.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T15:00:00Z,75,spectrum,buoy,1.193,buoy,,,,1.193,7.4,284.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T15:00:00Z,75,spectrum,coronado_north,0.956,breaking,1.86,0.792,0.647,1.193,17.8,221.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T15:00:00Z,75,spectrum,coronado_center,0.865,breaking,1.78,0.702,0.674,1.193,17.8,237.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T15:00:00Z,75,spectrum,coronado_south,0.784,breaking,1.95,0.656,0.698,1.193,9.0,254.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T18:00:00Z,78,spectrum,buoy,1.071,buoy,,,,1.071,6.9,282.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T18:00:00Z,78,spectrum,coronado_north,0.934,breaking,1.89,0.77,0.609,1.071,17.8,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T18:00:00Z,78,spectrum,coronado_center,0.811,breaking,1.77,0.661,0.637,1.071,17.8,236.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T18:00:00Z,78,spectrum,coronado_south,0.717,breaking,2.01,0.6,0.661,1.071,9.0,252.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T21:00:00Z,81,spectrum,buoy,1.03,buoy,,,,1.03,15.6,237.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T21:00:00Z,81,spectrum,coronado_north,0.912,breaking,1.78,0.757,0.584,1.03,14.5,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T21:00:00Z,81,spectrum,coronado_center,0.801,breaking,1.65,0.639,0.613,1.03,16.6,237.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-29T21:00:00Z,81,spectrum,coronado_south,0.725,breaking,1.77,0.578,0.639,1.03,8.5,251.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T00:00:00Z,84,spectrum,buoy,1.007,buoy,,,,1.007,15.6,241.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T00:00:00Z,84,spectrum,coronado_north,0.929,breaking,1.77,0.762,0.58,1.007,16.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T00:00:00Z,84,spectrum,coronado_center,0.815,breaking,1.49,0.64,0.612,1.007,16.6,237.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T00:00:00Z,84,spectrum,coronado_south,0.71,breaking,1.36,0.554,0.643,1.007,8.5,250.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T03:00:00Z,87,spectrum,buoy,1.011,buoy,,,,1.011,14.5,214.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T03:00:00Z,87,spectrum,coronado_north,0.935,breaking,1.95,0.773,0.584,1.011,16.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T03:00:00Z,87,spectrum,coronado_center,0.818,breaking,1.66,0.649,0.622,1.011,16.6,234.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T03:00:00Z,87,spectrum,coronado_south,0.715,breaking,1.47,0.556,0.66,1.011,8.5,253.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T06:00:00Z,90,spectrum,buoy,1.036,buoy,,,,1.036,14.5,218.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T06:00:00Z,90,spectrum,coronado_north,0.945,breaking,1.8,0.784,0.587,1.036,16.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T06:00:00Z,90,spectrum,coronado_center,0.826,breaking,1.69,0.664,0.63,1.036,16.6,234.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T06:00:00Z,90,spectrum,coronado_south,0.713,breaking,1.79,0.57,0.677,1.036,5.3,252.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T09:00:00Z,93,spectrum,buoy,1.0,buoy,,,,1.0,14.5,225.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T09:00:00Z,93,spectrum,coronado_north,0.935,breaking,1.78,0.781,0.577,1.0,15.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T09:00:00Z,93,spectrum,coronado_center,0.826,breaking,1.64,0.664,0.616,1.0,16.6,236.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T09:00:00Z,93,spectrum,coronado_south,0.711,breaking,1.67,0.564,0.657,1.0,5.3,253.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T12:00:00Z,96,spectrum,buoy,0.966,buoy,,,,0.966,14.5,226.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T12:00:00Z,96,spectrum,coronado_north,0.922,breaking,2.01,0.769,0.566,0.966,15.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T12:00:00Z,96,spectrum,coronado_center,0.802,breaking,1.77,0.644,0.599,0.966,16.6,237.0,3a56233
